,チーム1の得点,チーム2の得点,ATT_diff,MID_diff,DEF_diff,OVR_diff,Result,Team1,Team2
94,0,4,-7,-5,-6,-6,-1,4,12
95,0,4,-7,-5,-6,-6,-1,4,12
96,0,4,-7,-5,-6,-6,-1,4,12
97,0,4,-7,-5,-6,-6,-1,4,12
98,4,2,5,1,2,2,1,12,16
99,2,2,3,4,6,4,0,16,9
100,2,1,-6,-7,-5,-5,1,9,1
101,1,3,1,4,2,1,-1,1,21
102,3,1,6,5,5,6,1,21,0
103,1,2,3,3,2,3,-1,0,13
104,2,3,-5,-9,-6,-8,-1,13,6
105,3,3,-5,2,-1,0,0,6,2
106,3,2,13,5,6,6,1,2,5
107,2,3,-6,-2,-3,-2,-1,5,7
108,3,1,0,0,0,0,1,7,3
109,1,2,-12,-10,-7,-9,-1,3,14
110,2,0,15,12,11,12,1,14,19
111,0,3,-3,-3,-4,-3,-1,19,24
112,3,0,-4,0,1,-1,1,24,8
113,0,2,4,0,0,0,-1,8,18
114,2,1,-7,-6,-5,-5,1,18,15
115,1,4,5,6,2,5,-1,15,4
116,4,2,-4,-3,-1,-4,1,4,21
117,2,0,-1,-4,-2,-1,1,21,1
118,2,0,-1,-4,-2,-1,1,21,1
119,2,0,-1,-4,-2,-1,1,21,1
120,2,0,-1,-4,-2,-1,1,21,1
121,0,2,4,5,3,4,-1,1,23
122,0,2,4,5,3,4,-1,1,23
123,0,2,4,5,3,4,-1,1,23
124,0,2,4,5,3,4,-1,1,23
125,2,1,3,3,2,2,1,23,3
126,1,4,0,-1,0,0,-1,3,24
127,4,2,-2,-4,-2,-4,1,24,6
128,2,1,2,5,2,4,1,6,7
129,1,1,-4,-1,1,-1,0,7,8
130,1,3,-8,-9,-8,-8,-1,8,14
131,3,1,8,5,1,4,1,14,16
132,3,1,8,5,1,4,1,14,16
133,3,1,8,5,1,4,1,14,16
134,3,1,8,5,1,4,1,14,16
135,1,3,4,4,7,4,-1,16,18
136,3,3,0,2,1,2,0,18,0
137,3,0,-1,-2,-2,-2,1,0,9
138,0,2,4,3,4,4,-1,9,19
139,2,3,0,2,0,1,-1,19,13
140,3,0,3,-2,-1,-2,1,13,5
141,0,2,-15,-8,-11,-9,-1,5,12
142,2,3,2,-1,4,1,-1,12,15
143,3,2,0,4,1,2,1,15,2
144,2,2,7,2,3,4,0,2,24
145,2,1,-2,-4,-2,-4,1,24,6
146,1,2,-1,2,0,2,-1,6,23
147,2,0,-4,-4,-2,-4,1,23,15
148,0,0,6,6,4,5,0,15,9
149,0,2,7,3,3,3,-1,9,5
150,2,1,-3,2,1,2,1,5,13
151,1,0,-7,-9,-10,-9,1,13,16
152,0,2,4,4,7,4,-1,16,18
153,2,3,0,2,1,2,-1,18,0
154,3,2,-6,-5,-5,-6,1,0,21
155,2,1,2,3,4,4,1,21,8
156,1,1,-5,-5,-9,-6,0,8,12
157,1,1,2,-2,3,1,0,12,1
158,1,1,0,5,2,2,0,1,2
159,1,1,10,5,7,7,0,2,19
160,1,1,-3,-2,-4,-3,0,19,7
161,1,1,-2,-1,-2,-1,0,7,4
162,1,1,-2,-1,-2,-1,0,7,4
163,1,1,-2,-1,-2,-1,0,7,4
164,1,1,-2,-1,-2,-1,0,7,4
165,1,2,-5,-7,-3,-5,-1,4,1
166,2,0,5,7,3,5,1,1,4
167,0,1,2,1,2,1,-1,4,3
168,1,2,-7,-3,-3,-4,-1,3,2
169,2,3,4,0,1,2,-1,2,23
170,3,0,3,2,2,2,1,23,24
171,0,0,-9,-5,-8,-7,0,24,12
